Hospital Name,Address,Area,City,Pincode,State,Contact no.,Email id,Account No,IFSC CODE,BANK NAME,PAYEE NAME
Terna Speciality Hospital Research Centre,"Nerul, Navi Mumbai",Nerul,Navi Mumbai,400706,Maharashtra,9619488893,santosh.sail@ternahospital.org,5.64301E+14,UBIN0556432,UNION BANK OF INDIA,Shweta
Meera Hospital - Kalyan West (Sparsh Healing & care India Pvt Ltd),"Devi bavan, valipeer road, bailbazaar, kalyan west",Kalyan,Mumbai,421301,Maharashtra,9987193101,meeracashless@gmail.com,8.9702E+13,IOBA000897,INDIAN OVERSEAS BANK,Santosh
Janseva Hospital,"AT - Rumwal nagar, tal - niphad",Nashik,Nashik,422303,Maharashtra,9822425015,jansevahospi@gmail.com,3411309931,KKBK0001893,KOTAK MAHINDER BANK,smita
Kabra Hospital,"55, Mahesh Nagar, Jalna Road Mondha",Opp St Francis School,Aurangabad,431001,Maharashtra,7757041513,kabrahospital@yahoo.co.uk,5.10101E+14,UBIN09034428302,UNION BANK OF INDIA,Galaxy wellness
Dhanvantri Hospital,"Thakkar Plaza Ground Floor, Main Road, Kulgaon",Opposite Badlapur Station,Badlapur - East,421503,Maharashtra,9822306165,promod_pd@yahoo.com,Dhanvantari Hospital Pvt. Ltd.,DNSB0000012,DOMBIVALI NAGARI SAHAKARI BANK,Galaxy wellness
Healing Touch Eye Hospital,"Plot No 81, Satyam Heights, Sector 19",Kamothe,Navi Mumbai,410209,Maharashtra,9320202018,drrajatjadhav@gmail.com,1.0431E+15,IBKL0001043,IDBI BANK,Galaxy wellness
Saidham Hospital,"Shiv Sai Apartments, Opp Shiv Mandir Rd",Patilwadi,Thane,400601,Maharashtra,9004383456,saidham501@gmail.com,1.1201E+12,TJSB0000011,TJSB BANK,Galaxy wellness
Sai Arogyam Multispecilaity Hospital and ICCU,"1st Avenue,Opp Fire brigade, Business Park",Near Durgadi Killa,Thane,421301,Maharashtra,9004383456,saiaarogyamhospital505@gmail.com,1.11201E+12,TJSB0000011,TJSB SAHAKARI,Galaxy wellness
Apex Hospital,"Veena Nagar Phase-II, Near Tulsi Pipe Line, Next To Swapna Nagri",Mulund,Mumbai,400080,Maharashtra,8928385279,ha.mulund@apexhospitals.in,1.5121E+12,BCBM0000016,BHARAT CO-OPERATIVE BANK (MUMBAI) LTD,Galaxy wellness
Apex Hospitals,"A Wing, Vaishali Heights, Chandavarkar Road, Near Standard Chartered Bank",Borivali West,Mumbai,400092,Maharashtra,8928385279,networkinghead@apexhospitals.in; sangeeta@apexhospitals.in,9.1801E+14,UTIB0000740,AXIS BANK,Galaxy wellness
Suchak Hospital,"186, Manchhubhai Road",Malad East,Mumbai,400097,Maharashtra,9820096294,suchakhospital1950@gmail.com; suchakhosp@gmail.com,1.24702E+13,BARBOMALEAS,BANK OF BARODA,Galaxy wellness
Colours Multispeciality Hospital for Children,"101, Tower 10, Shree Krishna Paradise CHS, Near Furiture Market, Plot No-D69, Sector 12",Kharghar,Navi Mumbai,410210,Maharashtra,8850800073,colourschildrens@gmail.com,5.02E+13,HDFC0003650,HDFC BANK,Galaxy Wellness
Meditech Hospital,Classic County Complex,Mira Road Kashi,Thane,401107,Maharashtra,7208989015,meditechhospital@gmail.com,1.21005E+11,ICIC0001210,ICICI BANK,Galaxy Wellness
Globus Hospital,"201, 2nd Floor , Kothari Milestone Mall",Malad West,Mumbai,400064,Maharashtra,9022588767,globushospital2020@gmail.com,15805010242,ICIC0000158,ICICI BANK,Galaxy Wellness
Sahyogi Hospital LLP,"Damani Estate, LBS Road",Thane West,Thane,400602,Maharashtra,9029836837,sahyogihospital602@gmail.com,1.88905E+11,ICIC0001889,ICICI BANK,Galaxy Wellness
Mehta Nursing Home,"101 Rite Golden Creast Building, S V Road, Near Daulat Nagar Crematorium",Borivali,Mumbai,400066,Maharashtra,9821132442,mehtanursinghome66@gmail.com,5.12011E+12,BKID0000051,BANK OF INDIA,Galaxy Wellness
Vasant Vihar Hospital LLP,"Club House, Plot C-6, Behind Vasant Vihar",Vasant Vihar,Thane,400610,Maharashtra,9833931415,vasantviharhospital2021@gmail.com,9.2102E+15,UTIB0000327,AXIS BANK,Galaxy Wellness
Apex Hospitals - Borivali,"A Wing, Vaishali Heights, Chandavarkar Road, Near Standard Chartered Bank",Borivali West,Mumbai,400092,Maharashtra,8928385279,networkinghead@apexhospitals.in; sangeeta@apexhospitals.in,4711299968,KKBK0000653,KOTAK MAHINDRA BANK,
Apex Multispeciality Hospitals,"Dattapada Road, Next To Suswagat Restaurant, Opp Western Express Highway",Borivali West,Mumbai,400092,Maharashtra,8928385279,networkinghead@apexhospitals.in; sangeeta@apexhospitals.in,1.5121E+12,BCBM0000016,BHARAT CO-OPERATIVE BANK (MUMBAI) LTD,Galaxy Wellness
Samarpan Hospital,"Sunlite Corner Building SV Road, Opposite Dahisar Station,",Dahisar East,Mumbai,400068,Maharashtra,8097533436,samarpanhospitaldahisar@gmail.com,3.9102E+13,IBKL0000039,IDBI Bank,Galaxy Wellness
Shree Vallabh Hospital,"232/A ward, Near chandavani hall, tarabai park, kolhapur",,Kolhapur,416003,Maharashtra,9765496633,shrivallabh.hospital@gmail.com,9.20002E+15,UTIB0003014,Axis Bank,Santosh
Drishtideep Netraseva (Phaco & Eye Care Centre),"C S 249, Plot no. 31, E ward,Nagada Park, Kolhapur",Kolhapur,Kolhapur,416002,Maharashtra,9822030636,drishtideep.netraseva@gmail.com,6.65104E+14,IBKL0000665,IDBI Bank,Santosh
Matruchhaya Nursing Home,"Ankur Plaza 1st Floor, , Nr Mumbai Bangalore Highway 
Warje,",pune,pune,411052,Maharashtra,8446479548,bhushan.baviskar007@gmail.com,60105565284,MAHB0001349,Bank of maharashtra,Santosh
Khus-hal hospital and maternity home,"102/103, Karmavihar, Opposite Municipal Market, Pantnagar, Station Road, Ghatkopar (E), Pantnagar, Mumbai, Maharashtra 400400",Ghatkopar,Mumbai,400400,Maharashtra,9920468537,shekhshaifi11@gmail.com / khushalmultispecialityhospital@gmail.com,50001601872,IDIB000G008,INDIAN BANK,Sanket
Optimus Multispeciality Hospital,,Dahisar,Mumbai,,Maharashtra,9324516046,optimusmshospital@gmail.com,2.51101E+13,NKGS0000025,NKGSB BANK,
FORD HOSPITAL,,,,,,8227991508,fodhospitalcorporate@gmail.com,6.9262E+14,BKID0006926,BOI,
VIHAAN HOSPITAL,,,,,,9819823138,vihaanhospital2019@gmail.com,1.0431E+15,APBPM6219H,IDBI BANK,
PRAJJWAL EYE CARE AND LASER CENTRE,,,,,,8928077906,prajwaleyehospital@gmail.com,10049911402,IDFB0040111,IDFC FIRST BANK,
Meher Maternity & Nursing Home,,,,,,9822368223,vaidehimarathe69@gmail.com,4.65002E+13,BARB0DHARAM,Bank of Baroda,
Aarogyam Multispeciality Hospital & ICCU - Dombivali,,,,,,9004383456,aarogyamhospitals@gmail.com,1.04804E+14,SVCB000048,SVC CO-OPERATIVE BANK LTD.,
VEDA FERTILITY AND UROLOGY CARE,,,,,,9029150882,tpa@vedahospital.com,5.02001E+13,HDFC0001077,HDFC BANK,
Satya Trauma & Maternity Centre,,,,,,9919195124,tpa@satyahospitals.com,10346791415,SBIN0016883,STATE BANK OF INDIA,
